year,LSP,TP
1981,71.47303,82.43133
1982,55.63388,97.67112
1983,114.75081,144.23482
1984,71.121735,102.29052
1985,54.876488,90.86861
1986,98.776535,143.73254
1987,50.35386,83.183815
1988,67.60271,105.225136
1989,47.840107,101.17355
1990,72.53612,124.27686
1991,80.8236,101.666466
1992,67.536804,85.98501
1993,31.057846,42.05326
1994,54.980434,75.79931
1995,95.069374,121.414795
1996,78.53722,109.39895
1997,62.419983,102.606995
1998,82.265274,85.17347
1999,97.99167,118.473076
2000,40.144875,110.871635
2001,52.911278,100.94154
2002,36.289806,74.5345
2003,102.34648,119.605835
2004,79.57607,98.12225
2005,113.827,142.87033
2006,84.41837,105.37052
2007,80.406624,106.16478
2008,87.44678,130.37177
2009,71.47764,102.10484
2010,95.64181,113.12525
2011,80.00423,113.645035
2012,60.61736,83.03594
2013,83.458466,100.89315
2014,131.89563,162.58159
2015,84.53673,108.25332
2016,64.26759,122.89066
2017,65.1982,104.20511
2018,99.821526,123.71066
2019,69.377914,127.06706
